Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 1311753  Y 989251
X 1309153  Y 993151
X 1302653  Y 981751
X 1302153  Y 984751
X 1301618  Y 973489
X 1300153  Y 979251
X 1299653  Y 970989
X 1298653  Y 983251
X 1296653  Y 974489
X 1294656  Y 970889
X 1292653  Y 980251
X 1292653  Y 974251
X 1290153  Y 971251
X 1290153  Y 974251
X 1286653  Y 973251
X 1280153  Y 990001
X 1272953  Y 994646
X 1258553  Y 988246
X 1250153  Y 985846
X 1246153  Y 993846
X 1244452  Y 974952
X 1242553  Y 989446
X 1239933  Y 982643
X 1230500  Y 993646
X 1225748  Y 992596
X 1223753  Y 970646
X 1222606  Y 992589
X 1212553  Y 993446
X 1208153  Y 992589
X 1204553  Y 983846
X 1201600  Y 994346
X 1195046  Y 983825
X 1194153  Y 990646
X 1188953  Y 987846
X 1186153  Y 970646
X 1186153  Y 993846
X 1184153  Y 985046
X 1180553  Y 988646
X 1178553  Y 985046
X 1173753  Y 985046
X 1172696  Y 972551
X 1172553  Y 988646
X 1171500  Y 974546
X 1169353  Y 987046
X 1166953  Y 987046
X 1166597  Y 978646
X 1165753  Y 990646
X 1164400  Y 977546
X 1162953  Y 987046
X 1161599  Y 972197
X 1160553  Y 987046
X 1159399  Y 972297
X 1156799  Y 978397
X 1156599  Y 980597
X 1156553  Y 989846
X 1153196  Y 990051
X 1150348  Y 971596
X 1149899  Y 988297
X 1148153  Y 991046
X 1147796  Y 981856
X 1147008  Y 979100
X 1145948  Y 990996
X 1144651  Y 971197
X 1142748  Y 991046
X 1142653  Y 987446
X 1140953  Y 989046
X 1138553  Y 994646
X 1138346  Y 977525
X 1138300  Y 981930
X 1138270  Y 984680
X 1137767  Y 974322
X 1136303  Y 988748
X 1135548  Y 992496
X 1133228  Y 975348
X 1131951  Y 971197
X 1130999  Y 986497
X 1130999  Y 991597
X 1130451  Y 978797
X 1127451  Y 972900
X 1126651  Y 978496
X 1123652  Y 975652
X 1123551  Y 978402
X 1121696  Y 974051
X 1121653  Y 981251
X 1121548  Y 986296
X 1121300  Y 991900
X 1120956  Y 988989
X 1118856  Y 983889
X 1117303  Y 992248
X 1114253  Y 987100
X 1113350  Y 994396
X 1113200  Y 972900
X 1109850  Y 977248
X 1109149  Y 983834
X 1107196  Y 974551
X 1104253  Y 978951
X 1099453  Y 989046
X 1099453  Y 994146
X 1099452  Y 983952
X 1097806  Y 981189
X 1097003  Y 977601
X 1092003  Y 982401
X 1090223  Y 974549
X 1063823  Y 979349
X 1059823  Y 971749
X 1059023  Y 981519
X 1056623  Y 978949
X 1055823  Y 971349
X 1051823  Y 989349
X 1051423  Y 972519
X 1047423  Y 974549
X 1043856  Y 983889
X 1040227  Y 977519
X 1038223  Y 973749
X 1036223  Y 984149
X 1033423  Y 984549
X 1033423  Y 973349
X 1029823  Y 984149
X 1029823  Y 973749
X 1025423  Y 973749
X 1023823  Y 992949
X 1022623  Y 971349
X 1020223  Y 974149
X 1019423  Y 994549
X 1019023  Y 983749
X 1016223  Y 972549
X 1005423  Y 972549
X 1005423  Y 977349
X 1001423  Y 994149
X 995423  Y 979749
X 992223  Y 971349
X 978223  Y 994149
X 982223  Y 1001349
X 983823  Y 1006549
X 1002623  Y 1003749
X 1003000  Y 1011000
X 1003423  Y 1006949
X 1011823  Y 998149
X 1019423  Y 996549
X 1025423  Y 996149
X 1029423  Y 1008149
X 1029500  Y 1003000
X 1029500  Y 1005500
X 1034223  Y 1000149
X 1034227  Y 1015019
X 1037023  Y 996549
X 1041423  Y 1007349
X 1046227  Y 1008019
X 1048623  Y 996549
X 1051023  Y 1006549
X 1061227  Y 997519
X 1067300  Y 1002600
X 1083000  Y 1002900
X 1091799  Y 997283
X 1091806  Y 1006389
X 1095952  Y 997952
X 1104803  Y 1017748
X 1109900  Y 1019300
X 1109921  Y 1009259
X 1111496  Y 1001384
X 1111496  Y 1011778
X 1113071  Y 1009259
X 1113100  Y 1019200
X 1114643  Y 1011778
X 1114696  Y 996551
X 1116200  Y 1019300
X 1117156  Y 996989
X 1117796  Y 1012015
X 1119368  Y 1019653
X 1119400  Y 1000100
X 1120900  Y 996000
X 1120946  Y 1012015
X 1122518  Y 1019653
X 1124094  Y 1008815
X 1124094  Y 1011815
X 1125668  Y 1019653
X 1127246  Y 1012015
X 1128818  Y 1019653
X 1128821  Y 1009259
X 1130396  Y 1012015
X 1131099  Y 997097
X 1131968  Y 1019653
X 1131971  Y 1008865
X 1133546  Y 1001384
X 1133546  Y 1012015
X 1133753  Y 997046
X 1135118  Y 1019653
X 1135121  Y 1009259
X 1136696  Y 1012015
X 1136696  Y 1001384
X 1138268  Y 1019653
X 1138271  Y 1009259
X 1139846  Y 1001384
X 1139846  Y 1012015
X 1141418  Y 1019653
X 1141421  Y 1009259
X 1142553  Y 997046
X 1142996  Y 1012015
X 1142996  Y 1001384
X 1144568  Y 1019653
X 1144571  Y 1008865
X 1146146  Y 1001384
X 1146146  Y 1012015
X 1147718  Y 1019653
X 1147721  Y 1008865
X 1149296  Y 1012015
X 1149351  Y 1001597
X 1150868  Y 1019653
X 1150871  Y 1009259
X 1152446  Y 1012015
X 1154018  Y 1019653
X 1154021  Y 1009259
X 1155353  Y 996646
X 1155596  Y 1012015
X 1155596  Y 1001384
X 1160948  Y 1012196
