Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 1182153  Y 993751
X 1178897  Y 989201
X 1175653  Y 986751
X 1173153  Y 995401
X 1171153  Y 987251
X 1166299  Y 986539
X 1161550  Y 971310
X 1160653  Y 987046
X 1159520  Y 971346
X 1150903  Y 989151
X 1138300  Y 981930
X 1138270  Y 984680
X 1137353  Y 974451
X 1137303  Y 977701
X 1121653  Y 981251
X 1120956  Y 988989
X 1118856  Y 983889
X 1115356  Y 994189
X 1112756  Y 994089
X 1110556  Y 988989
X 1109149  Y 983834
X 1104253  Y 978951
X 1099453  Y 994146
X 1099453  Y 989046
X 1097806  Y 981189
X 1097003  Y 977601
X 1092003  Y 982401
X 1090223  Y 974549
X 1063823  Y 979349
X 1059823  Y 971749
X 1059023  Y 981519
X 1056623  Y 978949
X 1055823  Y 971349
X 1051823  Y 989349
X 1051423  Y 972519
X 1047423  Y 974549
X 1043856  Y 983889
X 1040227  Y 977519
X 1038223  Y 973749
X 1036223  Y 984149
X 1033423  Y 973349
X 1033423  Y 984549
X 1029823  Y 984149
X 1029823  Y 973749
X 1025423  Y 973749
X 1023823  Y 992949
X 1022623  Y 971349
X 1020223  Y 974149
X 1019423  Y 994549
X 1019023  Y 983749
X 1016223  Y 972549
X 1005423  Y 977349
X 1005423  Y 972549
X 1001423  Y 994149
X 995423  Y 979749
X 992223  Y 971349
X 978223  Y 994149
X 982223  Y 1001349
X 983823  Y 1006549
X 1002623  Y 1003749
X 1003000  Y 1011000
X 1003423  Y 1006949
X 1011823  Y 998149
X 1019423  Y 996549
X 1025423  Y 996149
X 1029423  Y 1008149
X 1029500  Y 1005500
X 1029500  Y 1003000
X 1034223  Y 1000149
X 1034227  Y 1015019
X 1037023  Y 996549
X 1041423  Y 1007349
X 1046227  Y 1008019
X 1048623  Y 996549
X 1051023  Y 1006549
X 1061227  Y 997519
X 1067353  Y 1003188
X 1069353  Y 1003188
X 1085206  Y 1003389
X 1091799  Y 997283
X 1091806  Y 1006389
X 1115783  Y 1001944
X 1117156  Y 996989
X 1120458  Y 1008289
X 1125658  Y 1008289
X 1131653  Y 996846
X 1145653  Y 999251
X 1150853  Y 1019051
X 1161253  Y 1014751
X 1168653  Y 999351
X 1169153  Y 1005851
X 1171453  Y 1014351
X 1172653  Y 999046
X 1174253  Y 1019251
X 1177653  Y 999046
X 1182653  Y 999046
X 1183753  Y 1019651
X 1187653  Y 999046
X 1193953  Y 999851
X 1195753  Y 1009051
X 1196553  Y 1014751
X 1208653  Y 1011501
X 1213153  Y 1004051
X 1221653  Y 1014751
X 1222418  Y 1010939
X 1222653  Y 1018751
X 1230903  Y 998851
X 1233203  Y 1014851
X 1234653  Y 998051
X 1235153  Y 1017546
X 1242753  Y 1000851
X 1246153  Y 1000951
X 1246356  Y 1011689
X 1250053  Y 1000951
X 1257653  Y 1017646
X 1290653  Y 1018751
X 1309153  Y 1003251
X 1314153  Y 1003251
X 1318653  Y 1003251
X 1323153  Y 1005751
X 1327153  Y 998751
X 1330153  Y 1002751
X 1331653  Y 1005751
X 1335653  Y 1003251
X 1339653  Y 1003251
X 1343153  Y 1015251
X 1208153  Y 1021751
X 1193753  Y 1020551
X 1164253  Y 1020851
X 1091799  Y 1021299
X 1085206  Y 1024989
X 1069153  Y 1026023
X 1060727  Y 1021519
Drill: .01  Tool: 2  Feed: 95  Speed: 300
X 1359500  Y 925000
X 1359500  Y 931000
X 1359500  Y 928000
X 1364500  Y 887000
X 1364500  Y 884000
X 1364500  Y 890000
X 1052623  Y 1025749
Drill: .012  Tool: 3  Feed: 95  Speed: 300
X 1327531  Y 907452
X 1327531  Y 901547
X 1329500  Y 904500
X 1331468  Y 907452
X 1331468  Y 901547
Drill: .02  Tool: 4  Feed: 197  Speed: 550
X 1065356  Y 920389
X 1065356  Y 926389
X 1086356  Y 920389
X 1086356  Y 926389
X 1208153  Y 902846
X 1332053  Y 868751
X 1370153  Y 899846
X 1260653  Y 989751
X 1220653  Y 949346
Drill: .036  Tool: 5  Feed: 197  Speed: 550
X 1000000  Y 1013779
X 1000000  Y 1000000
Drill: .042  Tool: 6  Feed: 139  Speed: 550
X 1224153  Y 911846
X 1224153  Y 903972
X 1224153  Y 896098
X 1234153  Y 911846
X 1234153  Y 903972
X 1234153  Y 896098
X 1244153  Y 911846
X 1244153  Y 903972
X 1244153  Y 896098
X 1254153  Y 911846
X 1254153  Y 903972
X 1254153  Y 896098
X 1264153  Y 911846
X 1264153  Y 903972
X 1264153  Y 896098
X 1274153  Y 911846
X 1274153  Y 903972
X 1274153  Y 896098
End of Listing
